iter	Logloss
0	0.6665918677
1	0.6430000928
2	0.6207705411
3	0.6007527076
4	0.5844550582
5	0.5693979337
6	0.5553485852
7	0.5432397035
8	0.5325072674
9	0.5229473066
10	0.514594083
11	0.5063219662
12	0.4986065508
13	0.4928663106
14	0.4876891459
15	0.482401772
16	0.4780726816
17	0.4728042195
18	0.4685493788
19	0.4644686081
20	0.4605349441
21	0.4569250458
22	0.4533933789
23	0.4501811947
24	0.4472954778
25	0.4443814778
26	0.4420062438
27	0.4401665539
28	0.438086928
29	0.435921959
30	0.4340403042
31	0.4318190961
32	0.4301362546
33	0.4285522047
34	0.4268451177
35	0.4252056892
36	0.4234366555
37	0.4220060143
38	0.4206040638
39	0.41899928
40	0.417718668
41	0.4162382182
42	0.414655515
43	0.4135762984
44	0.4123994953
45	0.411314019
46	0.4098842146
47	0.4089641393
48	0.4079620069
49	0.4069310598
50	0.4057406349
51	0.4046720067
52	0.4036797134
53	0.4028872236
54	0.4021744214
55	0.4013312465
56	0.400350526
57	0.3996786952
58	0.3986399117
59	0.3975347488
60	0.3966366757
61	0.3957828497
62	0.3951941004
63	0.3946742107
64	0.3938318784
65	0.3932441172
66	0.3923948306
67	0.3916480782
68	0.3909067243
69	0.3904288898
70	0.3897294644
71	0.3890785395
72	0.3884366505
73	0.387737788
74	0.3872883666
75	0.3866686353
76	0.3860742774
77	0.3856941015
78	0.3850582139
79	0.3844681371
80	0.3839246164
81	0.3834163697
82	0.3829921007
83	0.3822792714
84	0.3815894003
85	0.3811519496
86	0.3805680997
87	0.3802468465
88	0.3798746633
89	0.3794147153
90	0.3788948103
91	0.3783831357
92	0.3777204885
93	0.3773118773
94	0.3769460122
95	0.3765575799
96	0.3762277557
97	0.375882702
98	0.3752689143
99	0.3748062784
100	0.3744179487
101	0.3739329971
102	0.3736404447
103	0.3732773079
104	0.3730509468
105	0.3726829862
106	0.3722460754
107	0.3718272596
108	0.371438183
109	0.3711366249
110	0.3705228196
111	0.3702145377
112	0.3699080144
113	0.3695383307
114	0.3691531369
115	0.3688473363
116	0.3684808513
117	0.3682823904
118	0.3680641622
119	0.367824826
120	0.3672869621
121	0.3668090846
122	0.3663820876
123	0.3660145481
124	0.3656176814
125	0.3652307723
126	0.364855705
127	0.364637805
128	0.3643864826
129	0.3639439589
130	0.3636913424
131	0.3632399039
132	0.3629293095
133	0.362295733
134	0.3619423946
135	0.3617030847
136	0.3615246878
137	0.3612751977
138	0.3607661361
139	0.3604879385
140	0.3600292282
141	0.3596107211
142	0.3591754053
143	0.3588010692
144	0.3586156782
145	0.3584547478
146	0.3581638856
147	0.3577919053
148	0.3575171795
149	0.3572012262
150	0.3567276453
151	0.3564105897
152	0.3561338541
153	0.3558887538
154	0.3556557703
155	0.3553052954
156	0.3550884002
157	0.3549284736
158	0.354568098
159	0.3541501724
160	0.3538437134
161	0.3536144956
162	0.3534045559
163	0.3531796743
164	0.3528861029
165	0.3525716215
166	0.3523116489
167	0.3520790667
168	0.3517152975
169	0.3515177773
170	0.3512758206
171	0.3510348943
172	0.3508348737
173	0.3506184906
174	0.3503838641
175	0.3500911434
176	0.3497231178
177	0.3495188614
178	0.3490648563
179	0.3485147771
180	0.3481741601
181	0.3477488405
182	0.3475933409
183	0.3473640786
184	0.3470888338
185	0.3468173932
186	0.3466193139
187	0.3463643368
188	0.346166442
189	0.3459199963
190	0.3457311855
191	0.3453436289
192	0.3450483834
193	0.3446916001
194	0.3444172736
195	0.3442319917
196	0.3438519493
197	0.3436635258
198	0.3434907316
199	0.3430532686
