iter	Passed	Remaining
0	3	7453
1	7	7090
2	10	6978
3	13	6787
4	16	6689
5	19	6629
6	23	6703
7	26	6682
8	30	6691
9	33	6684
10	37	6715
11	40	6698
12	43	6677
13	46	6664
14	50	6647
15	53	6661
16	57	6678
17	60	6687
18	64	6693
19	67	6710
20	71	6742
21	75	6750
22	78	6763
23	82	6779
24	86	6795
25	89	6799
26	93	6803
27	96	6812
28	100	6807
29	103	6823
30	107	6826
31	110	6825
32	114	6823
33	117	6822
34	121	6827
35	125	6832
36	128	6838
37	132	6846
38	136	6844
39	139	6844
40	143	6843
41	146	6845
42	150	6860
43	154	6859
44	157	6857
45	161	6854
46	165	6858
47	168	6857
48	172	6859
49	176	6868
50	180	6878
51	183	6882
52	187	6880
53	190	6880
54	194	6895
55	198	6894
56	202	6898
57	205	6893
58	209	6889
59	212	6881
60	216	6875
61	219	6870
62	223	6867
63	226	6864
64	230	6866
65	234	6866
66	237	6864
67	241	6858
68	244	6852
69	248	6852
70	252	6848
71	255	6841
72	258	6836
73	262	6833
74	266	6830
75	269	6824
76	273	6819
77	276	6816
78	280	6810
79	283	6805
80	287	6800
81	290	6796
82	294	6791
83	297	6786
84	300	6780
85	304	6777
86	308	6774
87	311	6772
88	315	6767
89	318	6762
90	322	6757
91	325	6753
92	329	6749
93	332	6744
94	335	6737
95	339	6734
96	343	6731
97	346	6728
98	350	6725
99	353	6722
100	357	6717
101	360	6712
102	364	6709
103	367	6704
104	371	6709
105	375	6708
106	379	6706
107	382	6701
108	386	6702
109	389	6698
110	393	6694
111	396	6690
112	400	6685
113	403	6680
114	407	6676
115	410	6673
116	414	6673
117	418	6669
118	421	6665
119	425	6660
120	428	6656
121	432	6652
122	435	6647
123	439	6647
124	442	6643
125	446	6639
126	449	6634
127	453	6630
128	456	6626
129	460	6623
130	464	6620
131	467	6617
132	471	6612
133	474	6608
134	478	6604
135	481	6601
136	485	6601
137	489	6599
138	492	6596
139	496	6595
140	500	6595
141	504	6595
142	507	6594
143	511	6593
144	515	6591
145	518	6588
146	522	6584
147	525	6579
148	529	6575
149	532	6571
150	536	6569
151	540	6568
152	543	6566
153	547	6566
154	551	6564
155	555	6561
156	558	6558
157	562	6558
158	566	6554
159	569	6551
160	573	6550
161	577	6548
162	580	6543
163	584	6539
164	587	6537
165	591	6534
166	595	6530
167	598	6528
168	602	6526
169	605	6523
170	609	6519
171	613	6516
172	616	6514
173	620	6511
174	624	6509
175	627	6506
176	631	6504
177	635	6505
178	639	6505
179	643	6504
180	647	6502
181	650	6501
182	654	6498
183	658	6497
184	662	6495
185	666	6496
186	669	6494
187	673	6490
188	676	6485
189	680	6483
190	684	6479
191	687	6476
192	691	6474
193	695	6470
194	698	6466
195	702	6463
196	705	6459
197	709	6455
198	712	6452
199	716	6449
200	720	6446
201	723	6443
202	727	6439
203	731	6436
204	734	6432
205	738	6429
206	741	6426
207	745	6423
208	749	6419
209	752	6416
210	756	6412
211	759	6408
212	763	6405
213	767	6407
