kepoi_name,koi_disposition,koi_pdisposition,koi_period,koi_duration,koi_prad,koi_depth,koi_model_snr
"K00752.01","CONFIRMED","CANDIDATE",9.48803557,2.9575,2.26,615.8,35.80
"K00752.02","CONFIRMED","CANDIDATE",54.4183827,4.507,2.83,874.8,25.80
"K00753.01","CANDIDATE","CANDIDATE",19.89913995,1.7822,14.6,10829,76.30
"K00754.01","FALSE POSITIVE","FALSE POSITIVE",1.736952453,2.40641,33.46,8079.2,505.60
"K00755.01","CONFIRMED","CANDIDATE",2.525591777,1.6545,2.75,603.3,40.90
"K00756.01","CONFIRMED","CANDIDATE",11.09432054,4.5945,3.9,1517.5,66.50
"K00756.02","CONFIRMED","CANDIDATE",4.13443512,3.1402,2.77,686,40.20
"K00756.03","CONFIRMED","CANDIDATE",2.56658897,2.429,1.59,226.5,15.00
"K00114.01","FALSE POSITIVE","FALSE POSITIVE",7.36178958,5.022,39.21,233.7,47.70
"K00757.01","CONFIRMED","CANDIDATE",16.06864674,3.5347,5.76,4914.3,161.90
"K00001.01","CONFIRMED","CANDIDATE",2.470613377,1.74319,13.04,14230.9,4304.30
"K00002.01","CONFIRMED","CANDIDATE",2.204735417,3.88864,16.1,6674.7,5945.90
"K00010.01","CONFIRMED","CANDIDATE",3.522498429,3.19843,14.59,9145.7,1741.50
"K00112.02","CONFIRMED","CANDIDATE",3.709214104,2.6302,1.16,131.1,50.60
"K00742.01","FALSE POSITIVE","FALSE POSITIVE",11.521446064,3.6399,150.51,17984.3,622.10
"K00743.01","FALSE POSITIVE","FALSE POSITIVE",19.40393776,12.2155,7.18,8918.7,214.70
"K00744.01","FALSE POSITIVE","FALSE POSITIVE",19.221388942,4.79843,49.29,74284,2317.00
"K00745.01","FALSE POSITIVE","FALSE POSITIVE",16.46983774,9.4378,7.94,10478.9,303.40
"K00746.01","CONFIRMED","CANDIDATE",9.27358173,3.2875,2.47,1288.3,87.20
"K00747.01","CONFIRMED","CANDIDATE",6.02930329,1.5821,2.85,1912.7,65.40
"K00748.01","FALSE POSITIVE","FALSE POSITIVE",2.696370652,3.6129,1.58,397.9,48.20
"K00749.01","CONFIRMED","CANDIDATE",5.349553819,3.0278,2.55,831,60.60
"K00749.02","CONFIRMED","CANDIDATE",3.94105221,2.5984,1.7,363.3,28.90
"K00749.03","CONFIRMED","CANDIDATE",8.10904807,3.596,1.3,217.4,14.10
"K00113.01","FALSE POSITIVE","FALSE POSITIVE",386.6030528,6.8057,41.5,24926.6,994.00
"K00750.01","CONFIRMED","CANDIDATE",21.67699193,3.4555,2.95,857.2,34.30
"K00751.01","CONFIRMED","CANDIDATE",4.99677968,2.1717,2.78,934.7,28.20
"K00769.01","CONFIRMED","CANDIDATE",4.280963604,2.875,2.3,750.8,61.80
"K00770.01","FALSE POSITIVE","FALSE POSITIVE",1.50635409,1.5155,4.53,2211.7,181.10
"K00771.01","FALSE POSITIVE","FALSE POSITIVE",670.645531,53.412,14.14,18090.6,642.70
"K00772.01","FALSE POSITIVE","FALSE POSITIVE",61.2563628,7.633,39.87,5123.3,85.30
"K00773.01","CONFIRMED","CANDIDATE",38.3775486,5.588,2.82,724.2,34.70
"K00757.02","CONFIRMED","CANDIDATE",41.19725502,4.6297,3.86,2213.9,51.20
"K00757.03","CONFIRMED","CANDIDATE",6.252962249,2.5819,2.65,1036.9,47.10
"K00758.01","CONFIRMED","CANDIDATE",16.01308419,3.2554,3.1,1121.9,33.20
"K00759.01","CONFIRMED","CANDIDATE",32.62876672,4.7971,3.36,1804.8,80.00
"K00759.02","CONFIRMED","CANDIDATE",91.7732862,6.473,2.12,652,19.10
"K00760.01","CONFIRMED","CANDIDATE",4.959319244,2.22739,12.21,9802,696.50
"K00761.01","FALSE POSITIVE","FALSE POSITIVE",2.701287801,3.3827,6.54,860.4,48.30
"K00762.01","CONFIRMED","CANDIDATE",4.49876511,3.7362,2.1,460,29.50
"K00763.01","FALSE POSITIVE","FALSE POSITIVE",19.651209505,5.2514,12.42,11766.3,513.40
"K00115.01","CONFIRMED","CANDIDATE",5.412203927,2.9472,2.94,601.6,166.70
"K00764.01","CONFIRMED","CANDIDATE",41.43958662,10.5989,5.5,2793.1,141.10
"K00765.01","CONFIRMED","CANDIDATE",8.35389523,2.2514,2.52,1041.6,43.40
"K00766.01","CONFIRMED","CANDIDATE",4.125543472,3.1744,4.43,1487.3,128.60
"K00767.01","CONFIRMED","CANDIDATE",2.816504904,2.50587,12.21,16813.7,1406.80
