toi,tfopwg_disp,pl_orbper,pl_trandurh,pl_trandep,pl_rade,st_teff,st_rad
"1049.01","KP",2.1805277,2.9691750,16340.1353205,16.8088530,6599.0000000,1.2714601
"105.01","KP",2.1846669,2.8652800,11708.0228549,13.7028527,5630.0000000,1.2382400
"1050.01","KP",3.7354838,4.1420000,17030.0000000,21.2315000,6650.0000000,1.5700000
"1051.01","FA",21.7016690,8.2676424,211.6567325,2.3751494,5625.0000000,1.5648600
"1052.01","CP",9.1398040,3.0912936,358.4157801,3.0629855,5958.2000000,1.5800000
"1053.01","FP",5.7426250,2.8602930,1105.7608670,13.0885320,5664.0000000,3.8695900
"1054.01","CP",15.5077855,4.5650000,513.0000000,2.4343200,6122.0000000,1.1700000
"1055.01","CP",17.4713078,4.4284819,1199.7541483,3.5766828,5783.5400000,0.9746690
"1056.01","PC",5.3079507,3.2158594,391.3830934,3.0486928,6124.3000000,1.3696300
"1057.01","PC",51.1701501,6.6641048,851.4547808,2.9366826,5599.0000000,0.9433560
"1058.01","PC",11.1296441,7.0473822,951.6169809,12.8402271,5785.0000000,3.4475601
"1059.01","PC",9.4496506,2.0210000,19750.0000000,17.0216000,5509.0000000,0.9400000
"106.01","KP",2.8493825,3.5670000,8049.0000000,16.3869000,6900.0000000,1.7700000
"1060.01","APC",2.0685633,0.3730000,502.0000000,3.8973900,5687.9000000,1.1400000
"1061.01","FP",0.5409330,1.6743370,257.3474590,2.2850100,5525.0000000,1.2193500
"1062.01","CP",4.1150576,1.0800000,487.0000000,2.3005700,5394.0000000,0.8900000
"1063.01","PC",10.0665238,2.4023189,839.9044871,2.7272824,5552.0000000,0.7917420
"1064.01","CP",6.4438657,1.9309449,1121.9512275,2.4603440,4803.0000000,0.7371890
"1064.02","CP",12.2265595,2.1904379,1206.3693293,2.6014766,4803.0000000,0.7371890
"1065.01","KP",2.1603440,1.8288540,19357.9929920,22.5035410,5780.0000000,1.2000000
"1066.01","KP",4.6061840,3.1216430,13793.0348670,12.9622190,5670.0000000,1.0700000
