toi,tfopwg_disp,pl_orbper,pl_trandurh,pl_trandep,pl_rade,st_teff,st_rad
1049.01,KP,2.1805277,2.969175,16340.1353205,16.808853,6599.0,1.2714601
105.01,KP,2.1846669,2.86528,11708.0228549,13.7028527,5630.0,1.23824
1050.01,KP,3.7354838,4.142,17030.0,21.2315,6650.0,1.57
1051.01,FA,21.701669,8.2676424,211.6567325,2.3751494,5625.0,1.56486
1052.01,CP,9.139804,3.0912936,358.4157801,3.0629855,5958.2,1.58
1053.01,FP,5.742625,2.860293,1105.760867,13.088532,5664.0,3.86959
1054.01,CP,15.5077855,4.565,513.0,2.43432,6122.0,1.17
1055.01,CP,17.4713078,4.4284819,1199.7541483,3.5766828,5783.54,0.974669
1056.01,PC,5.3079507,3.2158594,391.3830934,3.0486928,6124.3,1.36963
1057.01,PC,51.1701501,6.6641048,851.4547808,2.9366826,5599.0,0.943356
1058.01,PC,11.1296441,7.0473822,951.6169809,12.8402271,5785.0,3.4475601
1059.01,PC,9.4496506,2.021,19750.0,17.0216,5509.0,0.94
106.01,KP,2.8493825,3.567,8049.0,16.3869,6900.0,1.77
1060.01,APC,2.0685633,0.373,502.0,3.89739,5687.9,1.14
1061.01,FP,0.540933,1.674337,257.347459,2.28501,5525.0,1.21935
1062.01,CP,4.1150576,1.08,487.0,2.30057,5394.0,0.89
1063.01,PC,10.0665238,2.4023189,839.9044871,2.7272824,5552.0,0.791742
1064.01,CP,6.4438657,1.9309449,1121.9512275,2.460344,4803.0,0.737189
1064.02,CP,12.2265595,2.1904379,1206.3693293,2.6014766,4803.0,0.737189
1065.01,KP,2.160344,1.828854,19357.992992,22.503541,5780.0,1.2
1066.01,KP,4.606184,3.121643,13793.034867,12.962219,5670.0,1.07
1067.01,KP,3.1316735,2.4579197,14915.6943722,9.4995191,4351.0,0.76701
1068.01,KP,3.180362,2.111521,21192.463324,13.446487,5498.0,0.92
1069.01,KP,2.9776446,2.962,13022.0,14.4339,5703.0,1.22
107.01,KP,3.9502008,4.444,13914.0,20.5357,6153.0,1.71
1070.01,FP,2.9776152,3.25697,43218.111683,26.88423,5740.0,1.28
1071.01,KP,3.5544026,2.0550535,10164.8753396,13.200677,5639.0,1.11499
1072.01,FP,12.8379689,9.8464123,10539.0192794,25.4886382,5765.0,2.4494
1073.01,CP,3.9228016,1.8736007,31510.9004906,13.3368705,4444.0,0.6983
1074.01,PC,13.9428705,3.7522756,1015.395543,2.4233421,5206.0,0.741671
1075.01,CP,0.6047392,1.0403847,1027.6833479,1.8625587,4046.0,0.580337
1076.01,KP,2.5495611,2.6173308,14921.4021936,12.9171288,5659.0,1.03997
1077.01,PC,1.6062693,1.9561305,16725.3019333,12.6436029,5192.0,0.984326
1078.01,CP,0.5182425,0.8565249,831.8920424,1.3485121,3325.0,0.390989
1000.01,FP,2.1713484,2.0172196,656.8860989,5.8181633,10249.0,2.16986
1001.01,PC,1.9316462,3.166,1286.0,11.2154,7070.0,2.01
1002.01,FP,1.8675574,1.408,1500.0,23.7529,8924.0,5.73
1003.01,FP,2.74323,3.167,383.41,,5388.5,
1004.01,FP,3.5730141,3.37,755.0,11.3113,9219.0,2.15
1005.01,FP,4.5505945,2.654,3731.0,7.10841,5613.0,1.09
1006.01,FP,2.5047918,4.3797563,2270.5402194,8.6950898,6616.0,1.53429
1007.01,PC,6.9989206,3.953,2840.0,14.7752,6596.0,2.7
1008.01,FP,2.0483755,2.767,483.0,3.19621,6858.5,1.57
1009.01,PC,1.9600277,2.0065257,1707.6272693,,8868.7,
101.01,KP,1.4303699,1.6165994,18960.7122944,13.1874503,5600.0,0.890774
1010.01,FP,0.6808702,2.4634563,1507.8006889,5.9115908,9438.0,1.0
1011.01,PC,2.4704981,2.191,250.0,1.44656,5413.7,0.94
1012.01,APC,0.884182,1.621,1890.0,24.8132,8928.0,2.72
1013.01,FP,5.4255548,3.9637474,14939.6342222,,8868.7,
1014.01,FP,1.4095184,0.9484999,2841.5103258,,9307.0,
1015.01,FP,1.3730466,2.5708515,1301.5065338,42.1479417,4897.0,6.7996101
1016.01,FP,12.6889415,7.9201001,3232.8527885,14.0608342,7601.0,1.53641
1017.01,FP,1.10422,2.37,14177.7,21.0448,6995.2,1.61
1018.01,FP,4.95912,2.509,7440.0,22.9123,5889.0,2.0
1019.01,PC,5.2341008,3.7078139,20796.9416293,24.2931408,7645.0,1.56203
102.01,KP,4.4119378,3.65,15062.0,15.4706,6280.0,1.21
1020.01,FP,3.28892,3.793,10518.9,,8734.2,
1021.01,FP,1.90879,1.909,618.482,3.34688,6022.6,1.22
1022.01,FA,3.09574,4.475,380.0,3.4262,6084.0,1.41
1023.01,FP,1.3214483,3.435,2180.0,21.8839,5050.8,2.99
1024.01,FP,18.0157,2.524,610.0,21.644,4709.0,7.61
1025.01,PC,9.6837921,2.4006056,4238.2399008,,8598.7,
1026.01,FP,14.2628757,6.9350494,913.2067174,2.4765813,5690.0,0.853898
1027.01,PC,3.2834565,1.537,1558.0,2.87648,4272.0,0.68
1027.02,PC,11.02875,2.715,1694.0,2.76586,4272.0,0.68
1027.03,PC,5.0113292,1.024,1210.0,2.52314,4272.0,0.68
1028.01,FP,1.01606,2.843,240.0,1.20704,4634.0,0.68
1029.01,FP,36.22214,5.107,7170.0,,,
103.01,KP,3.547854,3.494333,10424.3718,14.581841,6351.0,1.4
1030.01,FP,12.1246519,4.612,7279.0,17.6729,4807.6,1.07
1031.01,FP,5.652623,3.434,1250.0,8.94354,6415.4,1.92
1032.01,PC,5.6643704,3.8087395,3491.8232968,14.7738943,10395.0,2.3383701
1033.01,FP,29.0160175,5.345,1389.0,6.77406,6113.1,2.01
1034.01,FP,3.6404389,2.5339234,476.3077321,3.7025342,9810.0,1.60776
1035.01,PC,6.0744477,2.4954821,5982.5212406,30.9493217,5964.0,2.4303801
1036.01,PC,3.7795212,2.952,2761.0,5.98375,5771.0,1.18
1037.01,FP,1.2025238,1.991,390.0,6.31106,9158.0,1.74
1038.01,FP,3.2235985,2.159,680.0,5.51341,8904.0,2.17
1039.01,APC,4.420125,3.956,2466.0,,,
104.01,KP,4.0872956,5.586113,3572.1712499,13.6237732,6036.0,2.2186699
1040.01,FP,2.55555,1.566,340.0,11.5901,10037.0,6.04
1041.01,FP,8.30792,3.228,8350.0,43.1068,9081.0,3.05
1042.01,PC,0.758082,1.8184632,583.93181,10.1273702,9917.0,3.5086601
1043.01,FP,1.4415577,2.349,507.0,3.61078,6902.0,1.52
1044.01,PC,1.0085089,1.642,3051.0,,5215.2,
1045.01,FP,3.7039994,4.277,7590.0,17.57,7013.8,1.9
1046.01,FP,1.3042553,1.706,914.0,9.36472,6762.0,1.75
1047.01,FP,0.62627,0.666,1880.0,5.72162,5622.0,0.93
1048.01,FP,0.30412,0.748,1330.0,10.417,11892.0,2.52
1126.01,FP,1.6268695,3.231,1502.0,2.36498,5034.0,0.73
1127.01,FP,2.32439,4.453,2704.18,,8268.5,
1128.01,FP,13.5499,1.795,1180.0,6.24633,6209.0,1.63
1129.01,FP,4.43651,3.365,1520.0,19.9664,7101.9,2.32
113.01,KP,3.372877,2.63426,17163.60419,14.201803,6050.0,1.02
1130.01,CP,8.34998,1.836,16680.0,11.1424,4236.0,0.74
1130.02,CP,4.0686405,1.8373729,2650.0950013,3.7548333,4236.0,0.741921
1131.01,PC,0.5860366,0.8098934,410.5241553,4.906408,5579.0,2.39803
1132.01,FP,1.5502952,2.938,411.0,3.34528,7851.0,1.86
1133.01,FP,1.80709,3.297,450.0,4.86242,6244.0,2.2
1134.01,FP,18.6922101,7.765,11126.0,18.1458,6277.0,1.65
1135.01,CP,8.0277326,4.284,5705.0,9.06883,5962.7,1.15
1136.01,CP,12.5187279,5.38,2320.0,5.58857,5729.0,0.98
1136.02,CP,6.2586065,3.201,813.0,2.51593,5729.0,0.98
1136.03,CP,26.3208756,4.414,800.0,2.71349,5729.0,0.98
1136.04,CP,18.795547,4.3425576,470.6731965,2.1597669,5729.0,0.977727
1137.01,PC,1.3206356,1.6000996,1052.4255997,34.7561624,4919.6,6.3070302
1138.01,FP,0.64971,2.076,620.0,6.23181,9994.0,2.59
1079.01,PC,3.1644075,2.0576293,5603.4635466,14.8814743,6519.0,1.7234
108.01,KP,3.0440541,2.5984575,22236.0165376,12.1086799,5523.0,0.809868
1080.01,PC,3.9652485,1.0112593,3680.7544436,1.2305102,3296.0,0.199988
1081.01,PC,2.98278,3.109528,6136.231662,11.467011,6027.0,1.23975
1082.01,PC,16.3469053,3.5865698,2212.4257252,3.5059571,4310.0,0.649613
1083.01,PC,12.9802953,2.5034417,2407.2608671,2.4241912,3614.0,0.491323
1084.01,KP,1.3484961,2.4074261,18463.7636682,15.8824638,6346.0,1.14759
1085.01,APC,3.2541181,4.341,13620.0,14.9476,6102.0,1.28
1086.01,PC,3.7178828,5.5277827,4864.8405125,14.6986197,5818.0,2.0840001
1087.01,FP,9.30992,3.464,2220.0,14.2968,6907.0,3.09
1088.01,FA,1.15395,2.236,1550.0,5.48364,6093.0,1.4
1089.01,FP,4.73703,3.902,2410.0,25.7144,11600.0,2.48
109.01,KP,2.76676,2.6872178,14947.4387827,12.2867389,5346.0,0.984866
1090.01,FP,2.19296,4.586,4933.74,22.7769,7009.8,2.95
1091.01,PC,1.725841,3.674,2710.0,15.0024,7348.0,2.39
1092.01,FP,1.1923,3.119,3730.0,30.666,6534.0,2.04
1093.01,FP,11.47606,6.083,3050.0,,,
1094.01,APC,0.5971314,0.468,910.0,9.08382,7710.0,2.28
1095.01,PC,1.4821386,2.1867078,2102.6568299,13.7339261,7066.0,2.6647301
1096.01,FP,0.9209526,1.8602735,360.8801529,5.7349089,6553.0,2.8908899
1097.01,CP,9.188506,2.492,460.0,2.16591,5876.0,0.98
1097.02,CP,13.9028391,2.1264429,647.2701039,2.6136848,5876.0,0.983215
1098.01,CP,10.1826983,2.8275109,667.4752458,3.0538057,6153.0,1.14582
1099.01,CP,6.441006,1.812,914.0,2.56374,4867.0,0.8
110.01,KP,3.1743504,2.751086,15457.3247576,14.9172256,5943.0,1.15706
1100.01,FP,20.0731588,3.8449215,1152.9645461,4.0506906,6033.0,1.14849
1101.01,FP,2.66903,1.548,3110.0,9.36823,5803.5,1.56
1102.01,FP,6.63371,2.122,1555.34,2.75375,4138.1,0.63
1103.01,PC,2.94308,4.073,4490.0,45.3525,4437.0,3.13
1104.01,FP,341.2811281,6.303026,972.5797241,4.7531892,6058.6,1.39203
1105.01,PC,10.8680523,2.375,1553.0,2.90726,4664.0,0.76
1106.01,PC,11.1149,2.26,900.0,14.7645,5042.0,4.94
1107.01,CP,4.0782392,4.8475616,6046.6959687,13.898174,6501.0,1.74836
1108.01,FP,7.14386,1.467,11146.4,22.1531,7860.0,1.91
1109.01,FP,7.04083,2.979,1580.0,8.46404,5317.0,0.91
111.01,KP,2.1061569,1.4688934,12142.2238514,13.086872,5380.0,0.940697
1110.01,FP,2.4545635,2.321,4248.0,11.1276,6610.0,1.64
1111.01,FP,11.4756978,0.808,8341.0,14.1098,7262.0,2.13
1112.01,FP,2.78186,2.456,490.0,4.92567,6819.0,2.21
1113.01,FP,6.4410082,1.798,7076.0,4.59203,3469.0,0.53
1114.01,APC,2.4887726,2.632,4852.0,,8048.0,
1115.01,APC,4.45199,2.109,8483.38,15.8858,6708.3,1.57
1116.01,PC,5.0100708,2.0644756,409.4812214,2.3107394,5551.0,0.906282
1117.01,PC,2.2281625,2.015,630.0,2.56778,5731.0,1.02
1118.01,FP,4.13812,3.911,5560.0,,4898.4,
1119.01,APC,10.95663,3.588,3830.0,23.9726,6456.0,2.07
112.01,KP,2.4997996,2.865171,14621.2059647,13.8516093,5650.0,1.13732
1120.01,FP,1.66226,3.321,6030.0,13.3343,7301.0,1.64
1121.01,FP,4.07611,2.062,1454.18,,,
1122.01,FP,3.6245513,3.042,1299.0,4.3503,6317.0,1.38
1123.01,APC,1.20928,1.886,11883.8,15.1764,5159.8,1.27
1124.01,APC,3.5187707,2.408,5634.0,14.0061,6690.0,1.49
1125.01,PC,0.7724825,1.3744974,211.3168519,4.1624907,8271.0,2.5027299
119.02,PC,10.6917268,3.002,535.0,1.79811,5332.0,0.82
1190.01,APC,3.6950015,4.515,7655.0,14.1288,7106.7,1.63
1191.01,FP,15.7335693,3.288,2540.0,24.3218,6800.0,2.21
1192.01,APC,45.9403293,3.768,14807.0,28.3312,6479.3,1.28
1193.01,FP,2.2219839,1.996,4394.0,15.4416,7166.8,1.87
1194.01,CP,2.3106428,1.294,6911.0,8.76741,5339.9,0.99
1195.01,FP,4.05135,2.4,1132.23,14.2359,4974.4,3.85
1196.01,PC,5.5376617,2.517,5390.0,15.6557,6689.0,2.06
1197.01,PC,4.5960377,4.744,5000.0,16.2166,7649.0,2.12
1198.01,KP,3.612771,4.142,11794.0,19.3662,8324.0,1.71
1199.01,CP,3.6714717,2.149,4340.0,10.678,5618.0,1.54
120.01,CP,11.535076,8.555958,2389.90616,12.215808,5479.3,2.48771
1200.01,FP,0.8352406,1.043,2065.0,6.4875,6105.0,1.24
1201.01,CP,2.4919771,1.4338141,2093.9594201,2.2187585,3948.0,0.482388
1202.01,FP,,2.726775,878.134108,1.710706,3773.0,0.577983
1203.01,CP,25.5195307,6.6877451,558.3758637,2.9641461,5742.22,1.17321
1204.01,PC,1.3812115,2.7372191,117.7553083,2.2402361,6711.0,1.7756799
1205.01,PC,2.3922703,9.0053425,63.575141,3.5905923,6090.0,4.1956
1139.01,PC,4.4780798,4.513,1054.0,11.3678,7947.0,1.83
114.01,KP,3.2887898,3.4367717,7005.7247902,10.5135877,5800.0,1.24175
1140.01,FP,13.7431084,2.285,5688.0,12.05,5941.5,1.34
1141.01,FP,16.9487087,4.2887767,156467.5479643,45.2204505,5894.7,1.1179
1142.01,FP,3.3686634,3.012,3288.0,42.2321,7518.0,2.68
1143.01,FP,11.2071839,4.366,3276.0,17.4989,6152.0,2.24
1144.01,KP,4.8878037,2.184,4279.0,5.29152,4757.3,0.76
1145.01,FP,2.97164,1.534,7350.0,,8562.5,
1146.01,FP,0.660179,1.6349369,473.0939303,6.1672487,8598.7,2.62432
1147.01,FP,10.9278415,2.468,2743.0,49.1695,6259.0,2.92
1148.01,KP,5.5514888,4.335,9493.0,15.8043,6403.9,1.55
1149.01,APC,2.3202418,2.3817612,5082.9417064,,8737.5,
115.01,KP,4.7423709,2.4988145,12650.8110411,10.5505922,5377.0,0.877585
1150.01,KP,1.4810903,4.1588291,6788.5145388,20.3402421,9435.0,2.28773
1151.01,KP,3.4741012,3.317,15748.0,21.2912,8894.8,1.62
1152.01,FA,6.5011911,5.5463587,4501.3454064,,5485.0,
1153.01,APC,6.0360758,1.255,987.0,9.86763,6528.3,1.69
1154.01,PC,21.745537,4.196,659.0,2.10208,5704.0,0.93
1155.01,FP,1.32003,3.175,552.468,,,
1156.01,FP,1.6865822,2.429,1770.0,,,
1157.01,FP,13.0727479,3.044,4080.0,35.7944,5709.8,3.59
1158.01,FP,2.9258727,4.075,6720.0,24.4055,4884.5,1.3
1159.01,FP,0.73774,0.636,524.852,5.28215,6449.5,2.1
116.01,KP,2.7985802,2.3801043,16708.7151957,11.9514993,4920.0,0.906655
1160.01,FP,2.3664127,2.591,300.0,,,
1161.01,KP,1.7635881,3.092,6650.0,,7986.1,
1162.01,PC,7.3166682,3.255,3210.0,,8730.0,
1163.01,PC,3.0771612,2.6914319,4703.2844346,,9311.3,
1164.01,FP,3.2077145,2.708,9640.0,,,
1165.01,KP,2.2552845,2.05,20820.0,14.688,5787.0,0.96
1166.01,FP,1.8824539,2.46,1391.0,8.29008,5900.4,1.13
1167.01,FP,15.196,1.792,1970.0,4.96345,5807.0,1.14
1168.01,FP,2.1358631,1.559,10325.0,23.6019,5969.0,1.5
1169.01,PC,6.7075429,2.125,11920.0,17.4647,6134.3,1.24
117.01,KP,3.5862962,3.3710943,5729.3246858,16.4747611,5704.8,2.00441
1170.01,FP,1.8296155,2.166,1406.0,29.3616,7875.0,3.5
1171.01,FP,11.1876137,3.183,4924.0,31.8624,7266.0,2.05
1172.01,FP,7.8513949,6.835,22029.0,,,
1173.01,CP,7.0643978,2.424,8268.0,9.39131,5429.6,0.96
1174.01,CP,8.9534775,2.696,1136.0,2.35888,5029.5,0.76
1175.01,FP,7.5022708,2.605,1760.0,5.55812,6229.0,1.27
1176.01,PC,14.0077666,5.8727493,5924.8349672,12.4023108,6557.7,1.57435
1177.01,FP,1.692892,2.886,1418.0,11.2371,9121.5,2.1
1178.01,FP,2.6652007,3.49,819.0,2.35964,4043.4,0.56
1179.01,APC,1.2615323,1.039,2841.0,8.67407,4927.9,0.78
118.01,CP,6.0344667,1.89,1800.0,4.44029,5586.0,1.05
1180.01,CP,9.6867516,2.512,1669.0,3.00336,4738.1,0.73
1181.01,CP,2.1031647,5.059,7142.0,16.7087,6122.0,1.93
1182.01,FP,7.6416041,2.654,6025.0,27.538,6496.7,2.05
1183.01,FP,5.9294088,2.933,10226.0,10.8101,5095.6,1.06
1184.01,CP,5.7484439,1.76,1041.0,2.35215,4534.0,0.69
1185.01,FP,1.1967018,1.879,824.0,10.3239,5997.0,1.73
1186.01,FP,11.2464616,7.391,7576.0,17.6677,6115.7,2.01
1187.01,PC,2.5941968,0.861,907.0,4.47229,6389.0,1.4
1188.01,FP,8.5112,3.486,4172.76,,8156.0,
1189.01,PC,3.9687994,1.07,1760.0,,5286.9,
119.01,PC,5.5411114,2.467,633.0,2.04482,5332.0,0.82
1231.01,CP,24.2454967,3.3725583,6260.6703602,3.878568,3535.0,0.465271
1232.01,PC,14.2545623,4.7250029,7899.6939555,10.7048234,5739.0,1.09597
1233.01,CP,14.1758947,3.7543827,907.1324529,2.6231641,5723.87,0.864173
1233.02,CP,19.5901578,4.002861,1182.6678641,3.0026428,5723.87,0.864173
1233.03,CP,6.2036219,3.01098,548.9044399,2.056748,5723.87,0.864173
1233.04,CP,3.79589,2.4602856,317.5272928,1.553135,5723.87,0.864173
1234.01,FP,2.2645386,3.8193701,15019.9420903,5.1936764,3443.0,0.411471
1235.01,CP,3.4447015,1.912,796.0,2.00495,3912.0,0.63
1236.01,KP,3.0300715,2.5466671,21794.6136956,12.7529892,5242.82,0.857369
1237.01,KP,12.72038,2.401,1070.0,4.96046,6212.0,1.48
1237.02,KP,6.238755,3.6178567,373.5681138,2.9728283,6212.0,1.47768
1238.01,CP,3.2947689,1.7483103,1324.0402774,2.5248559,3853.0,0.62326
1238.02,CP,0.7645807,1.07057,394.9832006,1.2407226,3853.0,0.62326
1239.01,CP,12.6396982,3.3830702,3292.6812864,4.6025162,5217.0,0.789425
124.01,APC,1.8428078,1.449,1950.0,21.2705,5080.0,4.09
1240.01,KP,1.7208555,1.8346409,10014.2587401,13.4646314,5832.83,1.33402
1206.01,FP,0.831542,1.985538,248.969585,1.881684,5824.0,1.1512
1207.01,PC,2.6282553,2.0930597,75.2858004,0.9817044,6282.0,1.10743
1208.01,PC,3.4239436,1.9601023,443.6391381,1.7581475,5626.0,0.823019
1208.02,PC,10.983042,3.7478987,725.1724567,2.5070075,5626.0,0.823019
1208.03,PC,17.726449,3.4404719,747.7725499,2.261664,5626.0,0.823019
1209.01,PC,40.7199388,4.2436925,355.619391,3.2352713,5914.0,1.55953
121.01,APC,14.7741056,5.504,15041.0,15.3936,6053.0,1.23
1210.01,FP,79.3739596,5.392,1227.0,2.17454,5168.33,0.77
1211.01,PC,18.1663644,2.464,624.0,2.80447,5572.9,1.14
1212.01,PC,105.5850893,11.6068811,462.9116325,2.5033335,5909.57,1.1142
1213.01,FP,27.2149622,3.7190483,4731.4046225,8.3475973,6270.0,0.989667
1214.01,PC,19.1807264,3.9621084,544.5602695,2.4311768,5262.4,0.937973
1215.01,PC,1.2124493,0.9984653,501.2911711,0.879419,3751.0,0.518
1216.01,PC,4.5541831,7.8146963,187.8286128,0.8887417,4280.0,0.635812
1217.01,PC,41.4856125,6.6899368,959.7522291,12.5121956,6354.0,3.4868701
1218.01,PC,13.7738265,2.9992376,338.2166234,1.8971927,5455.96,1.01825
1219.01,PC,1.9142544,3.256,248.0,2.04421,6734.0,1.59
122.01,CP,5.0780325,1.2100353,5923.1283069,2.6347763,3318.0,0.334125
1220.01,APC,70.3607265,1.0325441,1353.9678246,8.2807306,6308.0,2.0982201
1221.01,CP,91.6827832,9.7504857,713.2183569,3.239855,5802.0,1.01814
1222.01,PC,10.1944993,2.2648785,317.3261147,2.7392825,6082.0,1.32661
1223.01,FP,14.64319,2.5483426,242.7923919,3.41248,6516.0,2.04178
1224.01,CP,4.1782656,1.675904,2537.6781602,2.1023854,3442.0,0.404403
1224.02,CP,17.9453645,3.0740072,5480.684864,3.3839124,3442.0,0.404403
1225.01,PC,13.896396,3.5885605,748.5332881,2.4586343,5522.87,0.888163
1225.02,PC,8.1213102,3.1040945,594.6443745,2.3157186,5522.87,0.888163
1226.01,PC,3.9287851,1.8165271,485.9762569,2.329279,5668.15,0.986943
1227.01,CP,27.3613778,4.0586418,20690.6684294,6.4522449,3050.0,0.44128
1228.01,CP,29.0497517,7.117,318.0,2.84674,8208.0,1.8
1229.01,APC,31.8132264,11.2567164,11479.375547,21.6314984,6028.84,1.98893
123.01,CP,3.3088922,6.114,4736.0,24.9862,6188.0,2.62
1230.01,CP,25.0571312,7.5424225,533.486013,3.2396838,5696.0,1.15281
1277.02,PC,14.8559691,3.711,1127.0,2.72638,5544.0,0.86
1278.01,CP,14.4751062,1.6182484,9618.5798534,8.6976173,3841.0,0.55035
1279.01,CP,9.6141636,3.4271882,933.6532689,3.2264735,5477.0,0.840608
128.01,CP,4.9404714,1.954,455.0,2.3216,6086.0,1.13
1280.01,PC,9.6926392,3.0182304,1838.2370548,3.289074,4665.0,0.746003
1281.01,PC,6.390888,3.766,435.0,2.47201,6191.0,1.32
1282.01,KP,0.9689927,2.5496309,13532.9710157,17.1331258,6430.0,1.41398
1283.01,KP,10.338505,4.242,18162.0,11.8729,5336.96,0.84
1284.01,FP,1.283251,2.012261,1961.318203,2.558112,3855.0,0.560391
1285.01,FP,1.2284388,1.9190118,1229.4965125,1.866263,3526.0,0.53023
1286.01,APC,0.6166953,0.712,1089.0,10.4852,6588.0,1.57
